company_A,company_B,score,Adresse_A,Zip_A,City_A,Country_A,Adresse_B,Zip_B,City_B,Country_B
Data Solutions Fr,Data Solutions Fr,1.0000000000000002,,13851,Aix-en-Provence,France,,13851,Aix-en-Provence,France
Boost.rs,Boost.rs,1.0000000000000002,,,Boulogne-Billancourt,France,,,Boulogne-Billancourt,France
Skillup.co,Skillup.co,1.0000000000000004,6 Rue de Saïgon,75116,Paris,France,6 Rue de Saïgon,75116,Paris,France
Architizer,Architizer,1.0,1 Whitehall Street,10004,New York,United States,1 Whitehall Street,10004,New York,United States
Anjali MVP,Anjali MVP,1.0,1-2 Place des Saisons,92400,Courbevoie,France,1-2 Place des Saisons,92400,Courbevoie,France
AuxiVia,AuxiVia,1.0,,,Paris,France,,,Paris,France
Les CCE Allemagne,Les CCE Allemagne,1.0000000000000002,22 Avenue Franklin Delano Roosevelt,75008,Paris,France,22 Avenue Franklin Delano Roosevelt,75008,Paris,France
"comScore, Inc.","comScore, Inc.",1.0000000000000002,11950 Democracy Drive,20190,Reston,United States,11950 Democracy Drive,20190,Reston,United States
Kylia France,Kylia France,1.0000000000000002,5 Rue du Faubourg Montmartre,75009,Paris,France,5 Rue du Faubourg Montmartre,75009,Paris,France
Kylia France,KYLIA France,1.0000000000000002,5 Rue du Faubourg Montmartre,75009,Paris,France,5 Rue du Faubourg Montmartre,75009,Paris,France
Seenk,Seenk,1.0000000000000002,16 Rue Popincourt,75011,Paris,France,{'Seenk': '18 Rue Popincourt'},{'Seenk': '75011'},{'Seenk': 'Paris'},{'Seenk': 'France'}
TTC - Testing Training and Consulting,TTC - Testing Training and Consulting,1.0,POB 4114,43365,Ra'anana,Israel,POB 4114,43365,Ra'anana,Israel
Alkemics,Alkemics,1.0,20 Rue Saint-Georges,75009,Paris,France,20 Rue Saint-Georges,75009,Paris,France
NES SARL,NES SARL,1.0000000000000002,46 RUE DE PROVENCE,75009,PARIS,France,46 RUE DE PROVENCE,75009,PARIS,France
COTE OUEST,COTE OUEST,1.0,"3RD FLOOR, CITIUS BUILDING 31 CYBERCITY",,Ebene,Mauritius,"3RD FLOOR, CITIUS BUILDING 31 CYBERCITY",,Ebene,Mauritius
France Digitale,France Digitale,1.0000000000000002,{'France Digitale': '71 Rue du Faubourg Saint-Martin'},{'France Digitale': '75002'},{'France Digitale': 'Paris'},{'France Digitale': 'France'},{'France Digitale': ''},{'France Digitale': ''},{'France Digitale': ''},{'France Digitale': ''}
Synthetron N.V.,Synthetron N.V.,1.0,44 Paleizenstraat,1030,Schaarbeek,Belgium,44 Paleizenstraat,1030,Schaarbeek,Belgium
"Pulpix, Inc.","Pulpix, Inc.",1.0000000000000002,25 West 39th Street,10018,New York,United States,25 West 39th Street,10018,New York,United States
EXCILYS,EXCILYS,1.0,47 Avenue Carnot,94230,Cachan,France,47 Avenue Carnot,94230,Cachan,France
orchestra,orchestra,1.0000000000000002,38 Avenue de l'Opéra,75002,Paris,France,38 Avenue de l'Opéra,75002,Paris,France
VideoProfile Group,VideoProfile Group,1.0,,,,United States,,,,United States
"J. Walter Thompson U.S.A., LLC","J. Walter Thompson U.S.A., LLC",1.0,466 Lexington Avenue,10017,New York,United States,466 Lexington Avenue,10017,New York,United States
Netino,Netino,1.0000000000000002,8 Rue de l'Amiral de Coligny,75001,Paris,France,8 Rue de l'Amiral de Coligny,75001,Paris,France
Affine,Affine,1.0,"39, RUE WASHINGTON",75008,Paris,France,"39, RUE WASHINGTON",75008,Paris,France
CREAgile,CREAgile,1.0,{'CREAgile': '20 Rue de la Belle Feuille'},{'CREAgile': '92100'},{'CREAgile': 'Boulogne-Billancourt'},{'CREAgile': 'France'},20 Rue de la Belle Feuille,92100,Boulogne-Billancourt,France
Magic Makers,Magic Makers,1.0,153 Rue de la Croix Nivert,75015,Paris,France,153 Rue de la Croix Nivert,75015,Paris,France
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
OVH LTD,OVH LTD,1.0,{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'},{'OVH LTD': '2 Rue Kellermann'},{'OVH LTD': '59100'},{'OVH LTD': 'Roubaix'},{'OVH LTD': 'France'}
Fidesio,Fidesio,1.0000000000000002,{'Fidesio': ''},{'Fidesio': ''},{'Fidesio': ''},{'Fidesio': ''},30 Rue Saint-Marc,75002,Paris,France
UP SELL,UP SELL,1.0,{'UP SELL': '10 Rue Auber'},{'UP SELL': '92120'},{'UP SELL': 'Montrouge'},{'UP SELL': 'France'},{'UP SELL': '10 Rue Auber'},{'UP SELL': '92120'},{'UP SELL': 'Montrouge'},{'UP SELL': 'France'}
UP SELL,UP SELL,1.0,{'UP SELL': '10 Rue Auber'},{'UP SELL': '92120'},{'UP SELL': 'Montrouge'},{'UP SELL': 'France'},{'UP SELL': '10 Rue Auber'},{'UP SELL': '92120'},{'UP SELL': 'Montrouge'},{'UP SELL': 'France'}
VECTAURY,VECTAURY,1.0000000000000002,33 Rue la Fayette,75009,Paris,France,33 Rue la Fayette,75009,Paris,France
HighTekers France,HighTekers France,1.0,,,,,,,,
LE CLUB DES EXTRAS,LE CLUB DES EXTRAS,1.0,,,,,,,,
PERFORMANCE PARTNER,PERFORMANCE PARTNER,1.0,10 Rue de la Plaine,78860,Saint-Nom-la-Bretèche,France,10 Rue de la Plaine,78860,Saint-Nom-la-Bretèche,France
ELEVON,ELEVON,1.0,,,Paris,France,,,Paris,France
Enercoop,Enercoop,1.0,{'Enercoop': '18 Quai de la Loire'},{'Enercoop': '75019'},{'Enercoop': 'Paris'},{'Enercoop': 'France'},{'Enercoop': ''},{'Enercoop': ''},{'Enercoop': 'Paris'},{'Enercoop': 'France'}
Nerim,Nerim,1.0,{'Nerim': ''},{'Nerim': ''},{'Nerim': ''},{'Nerim': ''},{'Nerim': '2 Grand Rue Pierre Braun'},{'Nerim': '68170'},{'Nerim': 'Rixheim'},{'Nerim': 'France'}
Nerim,Nerim,1.0,{'Nerim': ''},{'Nerim': ''},{'Nerim': ''},{'Nerim': ''},{'Nerim': '2 Grand Rue Pierre Braun'},{'Nerim': '68170'},{'Nerim': 'Rixheim'},{'Nerim': 'France'}
Opteamis,Opteamis,1.0000000000000002,16 Rue Médéric,75017,Paris,France,16 Rue Médéric,75017,Paris,France
MeilleursAgents,MeilleursAgents,1.0,"{'MeilleursAgents': 'Paris, France'}",{'MeilleursAgents': ''},{'MeilleursAgents': 'Paris'},{'MeilleursAgents': 'France'},{'MeilleursAgents': '8 Rue du Sentier'},{'MeilleursAgents': '75002'},{'MeilleursAgents': 'Paris'},{'MeilleursAgents': 'France'}
MeilleursAgents,MeilleursAgents,1.0,"{'MeilleursAgents': 'Paris, France'}",{'MeilleursAgents': ''},{'MeilleursAgents': 'Paris'},{'MeilleursAgents': 'France'},{'MeilleursAgents': '8 Rue du Sentier'},{'MeilleursAgents': '75002'},{'MeilleursAgents': 'Paris'},{'MeilleursAgents': 'France'}
Kingcom,Kingcom,1.0,4 Rue des Ardennes,75019,Paris,France,4 Rue des Ardennes,75019,Paris,France
Devoteam,Devoteam,1.0000000000000002,{'Devoteam': '73 Rue Anatole France'},{'Devoteam': '92300'},{'Devoteam': 'Levallois-Perret'},{'Devoteam': 'France'},{'Devoteam': '73 Rue Anatole France'},{'Devoteam': '92300'},{'Devoteam': 'Levallois-Perret'},{'Devoteam': 'France'}
Devoteam,Devoteam,1.0000000000000002,{'Devoteam': '73 Rue Anatole France'},{'Devoteam': '92300'},{'Devoteam': 'Levallois-Perret'},{'Devoteam': 'France'},{'Devoteam': '73 Rue Anatole France'},{'Devoteam': '92300'},{'Devoteam': 'Levallois-Perret'},{'Devoteam': 'France'}
HeyTom,HeyTom,1.0,600 West 5th Avenue,67005,Arkansas City,United States,600 West 5th Avenue,67005,Arkansas City,United States
Horizon Software,Horizon Software,1.0,13 Rue la Fayette,75008,Paris,France,13 Rue la Fayette,75008,Paris,France
Sekoia,Sekoia,1.0,{'Sekoia': '16 Place de la Madeleine'},{'Sekoia': '75008'},{'Sekoia': 'Paris-8E-Arrondissement'},{'Sekoia': 'France'},16 Place de la Madeleine,75008,Paris-8E-Arrondissement,France
SNCD,SNCD,1.0000000000000002,68 Boulevard Saint-Marcel,75005,Paris,France,68 Boulevard Saint-Marcel,75005,Paris,France
Dakine,DAKINE,1.0000000000000002,603 Portway Avenue,97031,Hood River,United States,603 Portway Avenue,97031,Hood River,United States
"Marriott International, Inc.","Marriott International, Inc.",1.0000000000000002,"{'Marriott International, Inc.': '10400 Fernwood Road'}","{'Marriott International, Inc.': '06902'}","{'Marriott International, Inc.': ''}","{'Marriott International, Inc.': 'United States'}","{'Marriott International, Inc.': '10400 Fernwood Road'}","{'Marriott International, Inc.': '20817'}","{'Marriott International, Inc.': 'Bethesda'}","{'Marriott International, Inc.': 'United States'}"
"Marriott International, Inc.",Marriott International Inc.,1.0000000000000002,"{'Marriott International, Inc.': '10400 Fernwood Road'}","{'Marriott International, Inc.': '06902'}","{'Marriott International, Inc.': ''}","{'Marriott International, Inc.': 'United States'}",{'Marriott International Inc.': '10400 Fernwood Road'},{'Marriott International Inc.': '20817'},{'Marriott International Inc.': 'Bethesda'},{'Marriott International Inc.': 'United States'}
"Marriott International, Inc.",Marriott International Inc.,1.0000000000000002,"{'Marriott International, Inc.': '10400 Fernwood Road'}","{'Marriott International, Inc.': '06902'}","{'Marriott International, Inc.': ''}","{'Marriott International, Inc.': 'United States'}",{'Marriott International Inc.': '10400 Fernwood Road'},{'Marriott International Inc.': '20817'},{'Marriott International Inc.': 'Bethesda'},{'Marriott International Inc.': 'United States'}
"Marriott International, Inc.",Marriott International Inc.,1.0000000000000002,"{'Marriott International, Inc.': '10400 Fernwood Road'}","{'Marriott International, Inc.': '06902'}","{'Marriott International, Inc.': ''}","{'Marriott International, Inc.': 'United States'}",{'Marriott International Inc.': '10400 Fernwood Road'},{'Marriott International Inc.': '20817'},{'Marriott International Inc.': 'Bethesda'},{'Marriott International Inc.': 'United States'}
"Marriott International, Inc.",Marriott International Inc,1.0000000000000002,"{'Marriott International, Inc.': '10400 Fernwood Road'}","{'Marriott International, Inc.': '06902'}","{'Marriott International, Inc.': ''}","{'Marriott International, Inc.': 'United States'}",{'Marriott International Inc': '10400 Fernwood Road'},{'Marriott International Inc': '20817'},{'Marriott International Inc': 'Bethesda'},{'Marriott International Inc': 'United States'}
"Marriott International, Inc.",Marriott International Inc,1.0000000000000002,"{'Marriott International, Inc.': '10400 Fernwood Road'}","{'Marriott International, Inc.': '06902'}","{'Marriott International, Inc.': ''}","{'Marriott International, Inc.': 'United States'}",{'Marriott International Inc': '10400 Fernwood Road'},{'Marriott International Inc': '20817'},{'Marriott International Inc': 'Bethesda'},{'Marriott International Inc': 'United States'}
"Marriott International, Inc.",Marriott International Inc.,1.0000000000000002,"{'Marriott International, Inc.': '10400 Fernwood Road'}","{'Marriott International, Inc.': '06902'}","{'Marriott International, Inc.': ''}","{'Marriott International, Inc.': 'United States'}",{'Marriott International Inc.': '10400 Fernwood Road'},{'Marriott International Inc.': '20817'},{'Marriott International Inc.': 'Bethesda'},{'Marriott International Inc.': 'United States'}
"Marriott International, Inc.",Marriott International Inc.,1.0000000000000002,"{'Marriott International, Inc.': '10400 Fernwood Road'}","{'Marriott International, Inc.': '06902'}","{'Marriott International, Inc.': ''}","{'Marriott International, Inc.': 'United States'}",{'Marriott International Inc.': '10400 Fernwood Road'},{'Marriott International Inc.': '20817'},{'Marriott International Inc.': 'Bethesda'},{'Marriott International Inc.': 'United States'}
"Marriott International, Inc.",Marriott International Inc.,1.0000000000000002,"{'Marriott International, Inc.': '10400 Fernwood Road'}","{'Marriott International, Inc.': '06902'}","{'Marriott International, Inc.': ''}","{'Marriott International, Inc.': 'United States'}",{'Marriott International Inc.': '10400 Fernwood Road'},{'Marriott International Inc.': '20817'},{'Marriott International Inc.': 'Bethesda'},{'Marriott International Inc.': 'United States'}
"Marriott International, Inc.","Marriott International, Inc.",1.0000000000000002,"{'Marriott International, Inc.': '10400 Fernwood Road'}","{'Marriott International, Inc.': '06902'}","{'Marriott International, Inc.': ''}","{'Marriott International, Inc.': 'United States'}","{'Marriott International, Inc.': '10400 Fernwood Road'}","{'Marriott International, Inc.': '20817'}","{'Marriott International, Inc.': 'Bethesda'}","{'Marriott International, Inc.': 'United States'}"
"Marriott International, Inc.",Marriott International Inc.,1.0000000000000002,"{'Marriott International, Inc.': '10400 Fernwood Road'}","{'Marriott International, Inc.': '06902'}","{'Marriott International, Inc.': ''}","{'Marriott International, Inc.': 'United States'}",{'Marriott International Inc.': '10400 Fernwood Road'},{'Marriott International Inc.': '20817'},{'Marriott International Inc.': 'Bethesda'},{'Marriott International Inc.': 'United States'}
BEVOLUTION AGENCY,BEVOLUTION AGENCY,1.0,,,,,,,,
Airmis,Airmis,1.0,37 Rue du Rocher,75008,Paris,France,{'Airmis': '41 Rue du Rocher'},{'Airmis': '75008'},{'Airmis': 'Paris'},{'Airmis': 'France'}
grafikmente,grafikmente,1.0000000000000002,118 Rue Réaumur,75002,Paris,France,118 Rue Réaumur,75002,Paris,France
MEDIA & BROADCAST TECHNOLOGIES® (MBT),MEDIA & BROADCAST TECHNOLOGIES® (MBT),1.0000000000000002,11 Rue de Courtalin,77700,Magny-le-Hongre,France,11 Rue de Courtalin,77700,Magny-le-Hongre,France
VERTUO Conseil,VERTUO Conseil,1.0,173 Avenue Achille Peretti,92200,Neuilly-sur-Seine,France,173 Avenue Achille Peretti,92200,Neuilly-sur-Seine,France
APPEX France,APPEX France,1.0000000000000002,42 Rue Galilée,75116,Paris,France,42 Rue Galilée,75116,Paris,France
WAM World and More,WAM World and More,1.0000000000000002,12 Rue Lincoln,75008,Paris,France,12 Rue Lincoln,75008,Paris,France
Novidy's S.A.,Novidy's S.A.,1.0000000000000002,4 Rue Paul Dautier,78140,Vélizy-Villacoublay,France,4 Rue Paul Dautier,78140,Vélizy-Villacoublay,France
Shippeo,Shippeo,1.0,48 Rue René Clair,75007,Paris,France,48 Rue René Clair,75007,Paris,France
5eRue,5eRue,1.0000000000000002,57 Rue de Turbigo,75003,Paris,France,57 Rue de Turbigo,75003,Paris,France
PSB Paris School of Business,PSB Paris School of Business,1.0000000000000004,59 Rue Nationale,75013,Paris,France,{'PSB Paris School of Business': '59 Rue Nationale'},{'PSB Paris School of Business': '75013'},{'PSB Paris School of Business': 'Paris'},{'PSB Paris School of Business': 'France'}
PSB Paris School of Business,PSB Paris School of Business,1.0000000000000004,59 Rue Nationale,75013,Paris,France,{'PSB Paris School of Business': '59 Rue Nationale'},{'PSB Paris School of Business': '75013'},{'PSB Paris School of Business': 'Paris'},{'PSB Paris School of Business': 'France'}
Sublime Skinz,Sublime Skinz,1.0000000000000002,"{'Sublime Skinz': '21 Rue Pierre Picard, Paris, Île-de-France, France, 75018'}",{'Sublime Skinz': '2025'},{'Sublime Skinz': 'Paris'},{'Sublime Skinz': 'France'},21 Rue Pierre Picard,75018,Paris,France
MIF,MIF,1.0,23 Rue Yves Toudic,75481,PARIS,France,23 Rue Yves Toudic,75481,PARIS,France
Le Quotidien du Médecin,Le Quotidien du Médecin,1.0000000000000002,1 Rue Augustine Variot,92245,Malakoff,France,1 Rue Augustine Variot,92245,Malakoff,France
Restopolitan,Restopolitan,1.0,146 Rue Montmartre,75116,Paris,France,146 Rue Montmartre,75116,Paris,France
Akeance Consulting,Akeance Consulting,1.0000000000000002,11 Bis Rue Portalis,75008,Paris,France,11 Bis Rue Portalis,75008,Paris,France
Lorenz Life Sciences Ltd.,Lorenz Life Sciences Ltd.,1.0000000000000002,1200 Pennsylvania Avenue,19102,Philadelphia,United States,1200 Pennsylvania Avenue,19102,Philadelphia,United States
CodinGame,CodinGame,1.0000000000000002,"CAP OMEGA, ROND-POINT BENJANMIN FRANKLLIN, CEDEX 1",39521,Montpellier,France,"CAP OMEGA, ROND-POINT BENJANMIN FRANKLLIN, CEDEX 1",39521,Montpellier,France
Belharra sas,Belharra sas,1.0,4 Impasse Oihana,64200,Bassussarry,France,4 Impasse Oihana,64200,Bassussarry,France
BOOK MY MUSIC,BOOK MY MUSIC,1.0,,,,,,,,
Atelier NA,Atelier NA,1.0000000000000002,36 RUE PAUL CEZANNE,75008,Paris,France,36 RUE PAUL CEZANNE,75008,Paris,France
Welcome to the Jungle,Welcome to the Jungle,1.0,11 Rue Bachaumont,75002,Paris,France,11 Rue Bachaumont,75002,Paris,France
ADALIA,ADALIA,1.0000000000000004,1 PLACE BELAIR,20100,الدار البيضاء,Morocco,1 PLACE BELAIR,20100,الدار البيضاء,Morocco
QualyCloud,qualycloud,1.0,42 Rue Legendre,75017,Paris,France,42 Rue Legendre,75017,Paris,France
Keyade,Keyade,1.0000000000000002,57 Rue de Villiers,92200,Neuilly-sur-Seine,France,57 Rue de Villiers,92200,Neuilly-sur-Seine,France
Pandacraft,Pandacraft,1.0000000000000002,22 Rue de Palestro,75002,Paris,France,{'Pandacraft': '81 Rue Réaumur'},{'Pandacraft': '75002'},{'Pandacraft': 'Paris'},{'Pandacraft': 'France'}
theTribe.io,theTribe.io,1.0,1 Rue Suffren,44000,Nantes,France,1 Rue Suffren,44000,Nantes,France
VINN,VINN,1.0,,94043,Krefeld,Germany,,94043,Krefeld,Germany
Rivoli Patrimoine,Rivoli Patrimoine,1.0,13 Rue de Rivoli,75004,Paris,France,13 Rue de Rivoli,75004,Paris,France
Zelros,Zelros,1.0,{'Zelros': ''},{'Zelros': '75013'},{'Zelros': 'Paris'},{'Zelros': 'France'},{'Zelros': ''},{'Zelros': ''},{'Zelros': ''},{'Zelros': ''}
Cirpack,Cirpack,1.0,26 Rue d'Oradour-sur-Glane,75015,Paris,France,26 Rue d'Oradour-sur-Glane,75015,Paris,France
SNCZ,SNCZ,1.0,RUE EMILE PIERRONNE,59111,Neuville-sur-Escaut,France,RUE EMILE PIERRONNE,59111,Neuville-sur-Escaut,France
GROUPE ITOP,GROUPE ITOP,1.0,29 Rue Jean Rostand,91400,Orsay,France,29 Rue Jean Rostand,91400,Orsay,France
LeKiosk,LeKiosk,1.0000000000000002,10 Rue de la Pépinière,75008,Paris,France,10 Rue de la Pépinière,75008,Paris,France
Voltalis,Voltalis,1.0,10 Rue Lincoln,75008,Paris,France,10 Rue Lincoln,75008,Paris,France
Steve Agency,Steve Agency,1.0,40 Rue Louis Blanc,75010,Paris,France,40 Rue Louis Blanc,75010,Paris,France
Praditus,Praditus,1.0000000000000002,33 Rue Raffet,75016,Paris,France,33 Rue Raffet,75016,Paris,France
Mawenzi Partners,Mawenzi Partners,1.0000000000000002,22 Rue de Madrid,75008,Paris,France,22 Rue de Madrid,75008,Paris,France
Bidmotion,Bidmotion,1.0,76 Rue du Faubourg Saint-Denis,75002,Paris,France,76 Rue du Faubourg Saint-Denis,75002,Paris,France
Seeqle,Seeqle,1.0,{'Seeqle': '14 Rue Darcet'},{'Seeqle': '75017'},{'Seeqle': 'Paris'},{'Seeqle': 'France'},{'Seeqle': ''},{'Seeqle': ''},{'Seeqle': ''},{'Seeqle': ''}
Seeqle,Seeqle,1.0,{'Seeqle': '14 Rue Darcet'},{'Seeqle': '75017'},{'Seeqle': 'Paris'},{'Seeqle': 'France'},{'Seeqle': ''},{'Seeqle': ''},{'Seeqle': ''},{'Seeqle': ''}
upday for Samsung,upday for Samsung,1.0,65 Axel-Springer-Straße,10969,Berlin,Germany,65 Axel-Springer-Straße,10969,Berlin,Germany
Incenteev,Incenteev,1.0000000000000004,{'Incenteev': '126 Rue Lecourbe'},{'Incenteev': '75015'},{'Incenteev': 'Paris'},{'Incenteev': 'France'},{'Incenteev': '126 Rue Lecourbe'},{'Incenteev': '75015'},{'Incenteev': 'Paris'},{'Incenteev': 'France'}
Incenteev,Incenteev,1.0000000000000004,{'Incenteev': '126 Rue Lecourbe'},{'Incenteev': '75015'},{'Incenteev': 'Paris'},{'Incenteev': 'France'},{'Incenteev': '126 Rue Lecourbe'},{'Incenteev': '75015'},{'Incenteev': 'Paris'},{'Incenteev': 'France'}
